url,category,lang
https://ko.wikipedia.org/wiki/2022%EB%85%84_%ED%95%9C%EA%B5%AD_%EC%A4%91%EB%B6%80_%EC%A7%91%EC%A4%91%ED%98%B8%EC%9A%B0,korea,ko
https://ko.wikipedia.org/wiki/1996%EB%85%84_%EA%B3%A0%EC%84%B1_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2000%EB%85%84_%EB%8F%99%ED%95%B4%EC%95%88_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2005%EB%85%84_%EC%96%91%EC%96%91_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2019%EB%85%84_%EA%B0%95%EC%9B%90%EB%8F%84_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2019%EB%85%84_%EB%8C%80%EC%A0%84_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2019%EB%85%84_%EB%B6%80%EC%82%B0_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2020%EB%85%84_%EA%B3%A0%EC%84%B1_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2020%EB%85%84_%EC%95%88%EB%8F%99_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2020%EB%85%84_%EC%9D%B8%EC%B2%9C_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2020%EB%85%84_%EC%B6%98%EC%B2%9C_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2022%EB%85%84_%EB%8F%99%ED%95%B4%EC%95%88_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2022%EB%85%84_%EC%9A%B8%EC%A7%84-%EC%82%BC%EC%B2%99_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2025%EB%85%84_%EB%8C%80%EA%B5%AC_%EB%B6%81%EA%B5%AC_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2025%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%82%B0%EB%B6%88,korea,ko
